GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
myspringjwt,com.example.jwt.security,SSOSecurityConfig,163,0,0,0,39,0,6,0,6,0
myspringjwt,com.example.jwt.security,SSOSecurityConfig.RestAuthenticationEntryPoint,30,0,0,0,6,0,2,0,2,0
myspringjwt,com.example.jwt.security,LoggingAccessDeniedHandler,19,0,0,0,4,0,3,0,3,0
myspringjwt,com.example.jwt.security,JwtTokenUtil,65,0,2,0,18,0,6,0,5,0
myspringjwt,com.example.jwt.security,JwtAuthenticationFilter,85,0,8,0,25,0,10,0,6,0
myspringjwt,com.example.jwt.exception,CustomAsyncExceptionHandler,52,0,2,0,6,0,3,0,2,0
myspringjwt,com.example.jwt.exception,GlobalExceptionHandler,43,0,0,0,8,0,3,0,3,0
myspringjwt,com.example.jwt.exception,ApplicationError,53,0,0,0,23,0,11,0,11,0
myspringjwt,com.example.jwt.exception,GlobalExceptionHandlingControllerAdvice,137,0,8,0,30,0,8,0,4,0
myspringjwt,com.example.jwt,App,62,0,2,0,10,0,4,0,3,0
myspringjwt,com.example.jwt.controller,ControllerWithoutExceptionHandlers,37,0,0,0,11,0,5,0,5,0
myspringjwt,com.example.jwt.controller,LoginErrorController,153,0,17,0,38,0,15,0,6,0
myspringjwt,com.example.jwt.controller,LoginErrorController.new Object() {...},19,0,0,0,1,0,1,0,1,0
myspringjwt,com.example.jwt.controller,APIController,46,0,2,0,14,0,7,0,6,0
myspringjwt,com.example.jwt.controller,FormController,14,0,0,0,5,0,3,0,3,0
myspringjwt,com.example.jwt.config,CustomAsyncConfig,35,0,0,0,11,0,3,0,3,0
myspringjwt,com.example.jwt.service,EventNotificationService,34,0,0,0,10,0,2,0,2,0
